region,comuna,latitud,longitud,trazabilidad__region,trazabilidad__comuna,LER,tratamiento_n1_name,cantidad_toneladas
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Quilicura,20 01 02 | Vidrio,Recepción y Almacenamiento,0.16
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Huechuraba,20 01 01 | Papel y cartón,Valorización,0.41
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.19
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,1.6
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.36
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.1
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Recepción y Almacenamiento,2.94
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Huechuraba,20 01 01 | Papel y cartón,Valorización,0.25
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,1.43
Metropolitana de Santiago,Buin,-33.733698232635,-70.764074157119,Metropolitana de Santiago,Pudahuel,20 01 40 | Metales,Valorización,0.88
Metropolitana de Santiago,Buin,-33.733698232635,-70.764074157119,Metropolitana de Santiago,La Pintana,20 01 40 | Metales,Recepción y Almacenamiento,2.57
